Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ,¿Ü±¹ÀÎ,±â°ü°è,±ÝÀ¶ÅõÀÚ,º¸Çè,Åõ½Å,ÀºÇà,±âÅ¸±ÝÀ¶,¿¬±â±Ý,±âÅ¸¹ýÀÎ,±âÅ¸¿ÜÀÎ,»ç¸ðÆÝµå
A068270,¼¿Æ®¸®¿Â,20221107,22797,-17779,-5201,10065,-3583,-5523,0,28,-4213,36,148,-1975
A068270,¼¿Æ®¸®¿Â,20221108,-86641,18124,68235,73143,-1122,987,-156,0,7134,325,-44,-11751
A068270,¼¿Æ®¸®¿Â,20221109,-97417,5997,92468,107195,-6237,-3490,-156,-121,10606,-372,-678,-15327
A068270,¼¿Æ®¸®¿Â,20221110,-38274,-7362,45921,14567,1031,9566,-454,0,19257,-227,-59,1955
A068270,¼¿Æ®¸®¿Â,20221111,-193534,64421,133279,98615,6557,6764,-403,229,15857,-3756,-412,5660
A068270,¼¿Æ®¸®¿Â,20221114,218315,-152422,-65349,-18675,-7820,-18744,-348,1079,-14091,-2242,1697,-6750
A068270,¼¿Æ®¸®¿Â,20221115,122988,-46744,-73545,11439,-13411,-37313,-348,239,-21996,-4294,1595,-12155
A068270,¼¿Æ®¸®¿Â,20221116,303438,-232277,-72767,284,-14833,-19533,0,975,-29871,999,607,-9791
A068270,¼¿Æ®¸®¿Â,20221117,309172,-244763,-63738,8937,-16006,-12749,0,1008,-30034,-1059,388,-14896
A068270,¼¿Æ®¸®¿Â,20221118,-33750,37170,-4376,8591,-365,4493,552,150,-12588,369,586,-5208
A068270,¼¿Æ®¸®¿Â,20221121,-11460,12673,-1980,27958,-2120,-9432,692,27,-11749,837,-71,-7355
A068270,¼¿Æ®¸®¿Â,20221122,-36254,6565,29140,15677,1948,2101,66,-1083,9605,-58,608,826
A068270,¼¿Æ®¸®¿Â,20221123,37715,-16859,-21586,-435,-3333,-5598,33,-1197,-7152,-31,762,-3904
A068270,¼¿Æ®¸®¿Â,20221124,-67854,23129,45198,30665,5720,7884,160,29,-1621,-259,-215,2360
A068270,¼¿Æ®¸®¿Â,20221125,-51203,19321,32347,20111,9053,9458,160,29,-624,-148,-319,-5842
A068270,¼¿Æ®¸®¿Â,20221128,8825,27568,-39130,-9263,-7733,-3103,-426,-828,-10746,2527,210,-7029
A068270,¼¿Æ®¸®¿Â,20221129,-78371,85605,-9747,20467,-7758,-2507,-426,-781,-5611,2204,308,-13129
A068270,¼¿Æ®¸®¿Â,20221130,-12414,44414,-33625,-37596,-3242,-662,0,-1,10224,1328,298,-2350
A068270,¼¿Æ®¸®¿Â,20221201,-61090,46309,12556,-16135,-1184,267,0,71,26407,2116,110,3128
A068270,¼¿Æ®¸®¿Â,20221202,113897,-35844,-79434,-59762,-3519,-5919,0,1,-5094,1134,248,-5141
A068270,¼¿Æ®¸®¿Â,20221205,15716,-30879,15544,7307,269,3372,355,0,9952,82,-463,-5712
A068270,¼¿Æ®¸®¿Â,20221206,10781,35489,-47225,-25155,1164,996,0,-1249,-13190,760,195,-9789
A068270,¼¿Æ®¸®¿Â,20221207,-81414,94899,-13985,-6175,1707,476,2024,-1315,-15498,343,158,4797
A068270,¼¿Æ®¸®¿Â,20221208,-47644,-6861,58028,144397,7365,-73882,-713,68,7995,-3635,112,-27201
A068270,¼¿Æ®¸®¿Â,20221209,-182231,-93947,279603,143383,25030,89689,-713,52,4406,-3599,174,17757
A068270,¼¿Æ®¸®¿Â,20221212,42535,-28150,-14996,-5654,-2363,-3268,0,31,1,454,157,-3743
A068270,¼¿Æ®¸®¿Â,20221213,3883,-226,-4190,4450,1641,3952,0,30,-12474,283,250,-1789
A068270,¼¿Æ®¸®¿Â,20221214,-59046,2754,54316,29057,10993,8551,-208,-5038,9117,2519,-543,1843
A068270,¼¿Æ®¸®¿Â,20221215,-60579,25661,33820,-767,14234,10435,-208,-5149,20246,1886,-788,-4972
A068270,¼¿Æ®¸®¿Â,20221216,-44512,78665,-33532,-18426,1272,-3771,-379,-826,-9984,-634,14,-1418
A068270,¼¿Æ®¸®¿Â,20221219,36719,-2688,-35294,-22595,3037,-6410,0,-1038,-4711,510,751,-3578
A068270,¼¿Æ®¸®¿Â,20221220,31152,25824,-50759,9855,-11263,-6404,0,0,-26486,-5763,-454,-16461
