Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ,¿Ü±¹ÀÎ,±â°ü°è,±ÝÀ¶ÅõÀÚ,º¸Çè,Åõ½Å,ÀºÇà,±âÅ¸±ÝÀ¶,¿¬±â±Ý,±âÅ¸¹ýÀÎ,±âÅ¸¿ÜÀÎ,»ç¸ðÆÝµå
A112610,¾¾¿¡½ºÀ©µå,20221020,-16491,-3684,18210,-5763,-2297,-8158,0,1,36547,1534,431,-2120
A112610,¾¾¿¡½ºÀ©µå,20221019,-11001,-11252,20894,-1953,-2053,-1261,0,1,26791,987,372,-631
A112610,¾¾¿¡½ºÀ©µå,20221021,1897,-32580,31869,5047,-2711,-13215,0,-333,45914,-1186,0,-2833
A112610,¾¾¿¡½ºÀ©µå,20221024,9217,20348,-30364,5783,2514,-47,0,0,-3404,838,-39,-35210
A112610,¾¾¿¡½ºÀ©µå,20221026,336265,-146872,-182200,9123,-55557,-105254,1173,-1410,31929,-5896,-1297,-62204
A112610,¾¾¿¡½ºÀ©µå,20221025,322661,-138245,-181791,8827,-34169,-86490,1336,500,-27091,-2926,301,-44704
A112610,¾¾¿¡½ºÀ©µå,20221028,-54650,48374,5477,20123,-370,9804,10000,32,-26766,74,725,-7346
A112610,¾¾¿¡½ºÀ©µå,20221027,-42374,37280,5490,13574,1817,9752,0,-168,-11480,-295,-101,-8005
A112610,¾¾¿¡½ºÀ©µå,20221101,-3490,17344,-14966,3462,2716,-7227,0,-125,-1194,1066,46,-12598
A112610,¾¾¿¡½ºÀ©µå,20221031,21624,7471,-32085,1533,-1121,-4161,0,34,-14786,2942,48,-13584
A112610,¾¾¿¡½ºÀ©µå,20221103,-12241,53860,-40069,-34662,-4808,-218,0,0,-22128,-1383,-167,21747
A112610,¾¾¿¡½ºÀ©µå,20221102,2089,30603,-31442,-14280,-5882,-1353,0,0,-14833,-1241,-9,4906
A112610,¾¾¿¡½ºÀ©µå,20221104,-76661,-1731,78898,-1258,13476,-5755,0,0,11886,-478,-28,60549
A112610,¾¾¿¡½ºÀ©µå,20221107,56149,-46887,-8820,-7918,-6019,-4075,0,-211,19660,-187,-255,-10257
A112610,¾¾¿¡½ºÀ©µå,20221109,-247583,141717,92993,20167,-4227,44269,0,873,-30877,13147,-274,62788
A112610,¾¾¿¡½ºÀ©µå,20221108,11,16968,-17001,8394,-6048,4438,0,86,-6384,11,11,-17487
A112610,¾¾¿¡½ºÀ©µå,20221111,-399700,119513,272314,22379,7019,76531,150,-875,26573,4075,3798,140537
A112610,¾¾¿¡½ºÀ©µå,20221110,-126596,40289,86779,-3418,-9225,29254,90,-455,27637,-1229,757,42896
A112610,¾¾¿¡½ºÀ©µå,20221115,-120835,91833,33446,14798,3957,-1297,0,6342,-34225,-4571,127,43871
A112610,¾¾¿¡½ºÀ©µå,20221114,-13420,59958,-43451,1406,-850,-16678,0,-1500,-33595,-3478,391,7766
A112610,¾¾¿¡½ºÀ©µå,20221117,-308582,134463,177191,13473,39237,115460,-10323,5444,-12057,3437,-6509,25957
A112610,¾¾¿¡½ºÀ©µå,20221116,-186297,58585,132611,16882,19407,91874,-9380,5071,-27283,1451,-6350,36040
A112610,¾¾¿¡½ºÀ©µå,20221118,-21116,56586,-35249,-2994,999,-20862,-158,97,9019,530,-751,-21350
A112610,¾¾¿¡½ºÀ©µå,20221121,-62081,44960,17186,2213,-420,-2719,0,28,21783,-76,11,-3699
A112610,¾¾¿¡½ºÀ©µå,20221123,-95972,-820,98591,33121,-2841,44116,100,225,-12809,-948,-851,36679
A112610,¾¾¿¡½ºÀ©µå,20221122,-85764,8758,76493,24059,4583,40668,90,93,-19784,1858,-1345,26784
A112610,¾¾¿¡½ºÀ©µå,20221125,-254592,-11824,256298,6088,24876,130049,190,17,4213,10627,-509,90865
A112610,¾¾¿¡½ºÀ©µå,20221124,-205318,6704,187746,7420,9994,109292,190,17,6601,11321,-453,54232
A112610,¾¾¿¡½ºÀ©µå,20221129,-75111,57698,21002,-2305,2167,4301,-220,-108,22125,-2956,-633,-4958
A112610,¾¾¿¡½ºÀ©µå,20221128,-29191,41414,-9282,-5909,2980,-371,-110,-180,-1723,-2385,-556,-3969
A112610,¾¾¿¡½ºÀ©µå,20221201,2120,33165,-34899,-10663,-20759,-20140,0,-2,20854,-403,17,-4189
A112610,¾¾¿¡½ºÀ©µå,20221130,-21229,39290,-13550,-11203,-11324,-3514,0,-2,11584,-4620,109,909
A112610,¾¾¿¡½ºÀ©µå,20221202,-6480,68989,-62236,-10549,-7899,-32659,-744,1,15874,-440,167,-26260
A112610,¾¾¿¡½ºÀ©µå,20221205,-7452,-33630,41201,2691,-4683,37048,-70,249,-472,-196,77,6438
A112610,¾¾¿¡½ºÀ©µå,20221207,-9331,61512,-50633,-8713,-7581,-8925,0,-868,-562,-1856,308,-23984
A112610,¾¾¿¡½ºÀ©µå,20221206,-9192,41712,-32809,-5796,-3489,-15507,0,-868,11148,13,276,-18297
A112610,¾¾¿¡½ºÀ©µå,20221209,26794,59994,-87320,9219,688,-47337,0,32,-15782,-378,910,-34140
A112610,¾¾¿¡½ºÀ©µå,20221208,-10117,13625,-592,4564,4126,-8066,0,31,-4718,-2870,-46,3471
A112610,¾¾¿¡½ºÀ©µå,20221213,-25326,-125970,155350,6425,19768,81014,1223,-88,43191,-4722,668,3817
A112610,¾¾¿¡½ºÀ©µå,20221212,-43414,-85442,130792,6371,19886,59101,1223,-88,35854,-2188,252,8445
A112610,¾¾¿¡½ºÀ©µå,20221215,-156579,-43909,201298,27977,12977,56987,0,0,24770,-464,-346,78587
A112610,¾¾¿¡½ºÀ©µå,20221214,-118806,-27213,147324,20306,8431,31556,0,0,21082,-1032,-273,65949
A112610,¾¾¿¡½ºÀ©µå,20221216,-33336,13526,20251,-258,4580,8685,80,33,5399,-427,-14,1732
A112610,¾¾¿¡½ºÀ©µå,20221219,-47802,31149,17903,1705,393,21395,0,-1,-9042,-1208,-42,3453
A112610,¾¾¿¡½ºÀ©µå,20221221,-11080,46312,-23750,1632,-6757,-8237,0,-2280,16268,-10655,-827,-24376
A112610,¾¾¿¡½ºÀ©µå,20221220,7428,44848,-41296,-1486,-5293,-4848,0,-2362,18024,-9793,-1187,-45331
A112610,¾¾¿¡½ºÀ©µå,20221223,-25217,-25636,51311,23665,-2191,7588,-1408,0,-4319,-658,200,27976
A112610,¾¾¿¡½ºÀ©µå,20221222,-3739,-18770,23343,14575,-2594,3913,-1408,0,-2688,-1009,175,11545
A112610,¾¾¿¡½ºÀ©µå,20221227,-110937,-16524,127579,41263,-5708,12153,0,279,13908,-398,280,65684
A112610,¾¾¿¡½ºÀ©µå,20221226,-37393,-24909,63198,17393,-3633,8592,0,0,8851,-904,8,31995
A112610,¾¾¿¡½ºÀ©µå,20221229,77397,-34819,-42003,-27993,-1038,-3445,0,1396,8143,-572,-3,-19066
A112610,¾¾¿¡½ºÀ©µå,20221228,26151,-17613,-8507,-8068,338,-2757,0,153,3622,-7,-24,-1795
A112610,¾¾¿¡½ºÀ©µå,20230102,21930,-11917,-5825,-5229,626,3455,0,0,8845,-4185,-3,-13522
A112610,¾¾¿¡½ºÀ©µå,20230104,115401,-8175,-112380,-13661,-17776,-39906,0,215,-9171,4712,442,-32081
A112610,¾¾¿¡½ºÀ©µå,20230103,-4546,17582,-11923,-11673,1259,5602,0,15,2549,-1145,32,-9675
A112610,¾¾¿¡½ºÀ©µå,20230106,78715,132136,-218194,195,-10279,-90118,-160,-781,-30130,6835,508,-86921
A112610,¾¾¿¡½ºÀ©µå,20230105,33549,98172,-138027,-10001,-6454,-43726,0,300,-7497,6044,262,-70649
A112610,¾¾¿¡½ºÀ©µå,20230110,-41550,5454,30620,28204,-1984,-4744,0,-10,-11554,4826,650,20708
A112610,¾¾¿¡½ºÀ©µå,20230109,-23118,13371,8193,10879,1526,-6060,0,-11,-6271,1130,424,8130
A112610,¾¾¿¡½ºÀ©µå,20230112,-155523,133768,20986,2022,7890,-27403,-312,-845,-44039,2055,-1286,83673
A112610,¾¾¿¡½ºÀ©µå,20230111,34193,-16773,-19401,-20465,13167,4460,0,-120,-21726,2162,-181,5283
A112610,¾¾¿¡½ºÀ©µå,20230113,38318,-34554,-4809,7991,279,-10572,-100,1,-6020,937,108,3612
A112610,¾¾¿¡½ºÀ©µå,20230116,-9677,18439,-6262,-1451,-1183,-1334,0,442,-2742,-2484,-16,6
A112610,¾¾¿¡½ºÀ©µå,20230118,58966,-33043,-25634,-19012,-9837,8253,-585,1,-10669,-252,-37,6215
A112610,¾¾¿¡½ºÀ©µå,20230117,15772,-6725,-9368,-16411,-6000,9792,-585,0,-796,220,101,4632
A112610,¾¾¿¡½ºÀ©µå,20230120,212408,-45906,-172470,-20284,-6746,-52655,2430,0,-37961,3901,2067,-57254
A112610,¾¾¿¡½ºÀ©µå,20230119,111508,-68036,-45656,-1986,-3696,-13884,2600,0,-18480,1715,469,-10210
A112610,¾¾¿¡½ºÀ©µå,20230126,128136,-23748,-101942,540,-6539,-50240,-227,1,-40429,-3069,623,-5048
A112610,¾¾¿¡½ºÀ©µå,20230125,138781,-20586,-114804,-1414,-5994,-32820,13,0,-67567,-3669,278,-7022
A112610,¾¾¿¡½ºÀ©µå,20230127,-5881,-15314,21659,5514,569,6115,1450,0,6878,147,-611,1133
A112610,¾¾¿¡½ºÀ©µå,20230130,242952,-76257,-163212,-7268,-7460,-48050,-1450,200,-49387,-4024,541,-49797
A112610,¾¾¿¡½ºÀ©µå,20230201,122427,111478,-234297,-16751,-10644,-100663,0,47,-7281,1692,-1300,-99005
A112610,¾¾¿¡½ºÀ©µå,20230131,213682,75299,-290249,-19559,-13819,-96894,0,50,-56756,2512,-1244,-103271
A112610,¾¾¿¡½ºÀ©µå,20230203,31102,-61469,30208,-8259,1540,-1571,-2123,201,20518,-116,275,19902
A112610,¾¾¿¡½ºÀ©µå,20230202,26674,-36420,9973,-7157,1310,1877,0,0,12012,-419,192,1931
A112610,¾¾¿¡½ºÀ©µå,20230207,-130288,32418,97323,-15655,2761,12254,1400,720,93399,1121,-574,2444
A112610,¾¾¿¡½ºÀ©µå,20230206,2492,-3145,-744,-12887,668,2019,0,519,11996,1414,-17,-3059
A112610,¾¾¿¡½ºÀ©µå,20230209,-144981,101697,45471,177,3667,16362,-498,400,30511,-950,-1237,-5148
A112610,¾¾¿¡½ºÀ©µå,20230208,7126,6838,-15829,-4080,773,-3247,140,601,-6651,2274,-409,-3365
A112610,¾¾¿¡½ºÀ©µå,20230210,-116898,90693,28561,-5595,4427,14453,0,0,11198,-2256,-100,4078
A112610,¾¾¿¡½ºÀ©µå,20230213,-45601,1137,40260,-2751,-837,18728,0,-501,11492,4173,31,14129
A112610,¾¾¿¡½ºÀ©µå,20230215,372851,-252913,-116814,2094,-11429,-48003,6550,19740,-63824,-5077,1953,-21942
A112610,¾¾¿¡½ºÀ©µå,20230214,245827,-204105,-36852,14218,-2048,-8856,7566,19154,-47032,-6670,1800,-19854
A112610,¾¾¿¡½ºÀ©µå,20230217,-63542,-9,57996,12134,-223,530,1502,102,23941,6149,-594,20010
A112610,¾¾¿¡½ºÀ©µå,20230216,-34483,-5929,38387,19840,-1966,1458,1502,0,10611,2686,-661,6942
A112610,¾¾¿¡½ºÀ©µå,20230221,101612,-65217,-33155,-3395,-2700,-45345,700,43,19577,-3685,445,-2035
A112610,¾¾¿¡½ºÀ©µå,20230220,73202,-23182,-52259,3903,-3008,-34833,0,43,-13942,2224,15,-4422
A112610,¾¾¿¡½ºÀ©µå,20230223,179016,-91360,-91168,-10219,-10428,-52230,-700,2,-7052,2906,606,-10541
A112610,¾¾¿¡½ºÀ©µå,20230222,128454,-62847,-69008,-13706,-8465,-41707,-700,2,631,2860,541,-5063
A112610,¾¾¿¡½ºÀ©µå,20230224,-28236,3675,24455,-333,1923,9297,0,119,10441,-145,251,3008
A112610,¾¾¿¡½ºÀ©µå,20230227,65895,3484,-75748,-8906,6094,-3241,0,54,-74998,5954,415,5249
A112610,¾¾¿¡½ºÀ©µå,20230228,6519,11036,-18399,3731,-683,-5025,0,154,-50014,728,116,33438
A112610,¾¾¿¡½ºÀ©µå,20230303,-125119,118654,4193,28200,6624,26010,700,228,-120230,2606,-334,62661
A112610,¾¾¿¡½ºÀ©µå,20230302,-150428,145789,3768,28839,1790,13874,0,100,-88754,1351,-480,47919
A112610,¾¾¿¡½ºÀ©µå,20230307,-182155,133942,52801,-5162,15041,66780,-2547,-244,-64866,-3789,-799,43799
A112610,¾¾¿¡½ºÀ©µå,20230306,-41600,9353,38759,10278,8839,31050,551,0,-32206,-5925,-587,20247
A112610,¾¾¿¡½ºÀ©µå,20230309,75486,59068,-125684,-7465,-4768,22510,-2118,-360,-159121,-11517,2647,25638
A112610,¾¾¿¡½ºÀ©µå,20230308,56715,-2907,-45096,-9489,963,2208,600,11,-43974,-10005,1293,4585
A112610,¾¾¿¡½ºÀ©µå,20230310,-51351,45255,6184,-7728,7282,-183,140,1,-5277,-187,99,11949
A112610,¾¾¿¡½ºÀ©µå,20230313,6348,-18991,13224,-7792,-3946,60262,-3048,0,-34713,-856,275,2461
A112610,¾¾¿¡½ºÀ©µå,20230315,-49765,40077,14696,3843,-2796,70589,-9751,475,-500,-4689,-319,-47164
A112610,¾¾¿¡½ºÀ©µå,20230314,27762,-897,-24237,-2564,-6425,24958,249,475,-16254,-2099,-529,-24676
A112610,¾¾¿¡½ºÀ©µå,20230317,140467,-312282,175229,6246,20403,48526,274,1031,125729,-3076,-338,-26980
A112610,¾¾¿¡½ºÀ©µå,20230316,-50060,-45534,100367,3326,7522,53923,274,304,41357,-4364,-409,-6339
A112610,¾¾¿¡½ºÀ©µå,20230321,59742,104492,-158753,-1270,2585,-37871,-5476,0,-29975,-6028,547,-86746
A112610,¾¾¿¡½ºÀ©µå,20230320,3837,100036,-97118,1285,1173,-23432,0,-1,-21491,-6853,98,-54652
A112610,¾¾¿¡½ºÀ©µå,20230323,30916,7543,-38859,12474,5198,-11675,-122,100,-30369,918,-518,-14465
A112610,¾¾¿¡½ºÀ©µå,20230322,-8241,1543,6637,2722,2464,-1462,58,0,-15746,-320,381,18601
A112610,¾¾¿¡½ºÀ©µå,20230324,35388,35307,-71495,-8254,-230,-8154,0,101,-42920,146,654,-12038
A112610,¾¾¿¡½ºÀ©µå,20230327,33886,-38786,6890,2881,-204,4347,0,500,2042,-1986,-4,-2676
A112610,¾¾¿¡½ºÀ©µå,20230329,-45155,17456,26981,12082,2486,-8917,600,0,39165,19,699,-18435
A112610,¾¾¿¡½ºÀ©µå,20230328,-36177,25770,9789,7937,403,-9457,600,0,21887,-41,659,-11581
A112610,¾¾¿¡½ºÀ©µå,20230331,-29054,-17738,45479,5471,8492,31718,1200,305,55877,2141,-828,-57584
A112610,¾¾¿¡½ºÀ©µå,20230330,-42467,36534,6184,-2440,9585,27499,1200,305,22324,-37,-214,-52289
A112610,¾¾¿¡½ºÀ©µå,20230404,333031,-189000,-147363,-29657,1033,-51299,7700,-189,394,2849,483,-75345
A112610,¾¾¿¡½ºÀ©µå,20230403,242005,-137098,-105993,-22650,-922,-45463,7700,-188,-6786,543,543,-37684
A112610,¾¾¿¡½ºÀ©µå,20230406,-262738,181866,81737,-7252,-3784,36108,-2972,1452,74927,298,-1163,-16742
A112610,¾¾¿¡½ºÀ©µå,20230405,-207138,142747,64895,19642,2717,72,-2100,0,45599,-711,207,-1035
A112610,¾¾¿¡½ºÀ©µå,20230407,291994,-280246,-14019,11938,3372,-4667,301,1300,8579,1540,731,-34842
A112610,¾¾¿¡½ºÀ©µå,20230410,-55417,76241,-23580,7030,5803,-13335,0,-102,21216,2676,80,-44192
A112610,¾¾¿¡½ºÀ©µå,20230412,-92374,42443,53151,2366,-2481,6068,0,-18,37566,-3095,-125,9650
A112610,¾¾¿¡½ºÀ©µå,20230411,-95428,48036,50064,10639,-3579,3203,0,-18,25381,-2491,-181,14438
A112610,¾¾¿¡½ºÀ©µå,20230414,-308839,145342,173661,47058,4067,23777,1629,178,91065,-9557,-607,5887
A112610,¾¾¿¡½ºÀ©µå,20230413,-51958,47078,9950,12898,-275,129,0,0,23663,-5069,-1,-26465
A112610,¾¾¿¡½ºÀ©µå,20230418,33578,-87239,56198,-2779,24376,30616,6,2699,50983,-2912,375,-49703
A112610,¾¾¿¡½ºÀ©µå,20230417,21428,-24564,1056,-159,-51,9611,142,0,6789,826,1254,-15276
A112610,¾¾¿¡½ºÀ©µå,20230420,-134394,64931,60312,5211,-3799,16582,-9200,-303,67905,9567,-416,-16084
A112610,¾¾¿¡½ºÀ©µå,20230419,19183,21833,-41678,911,-7640,-4736,-1200,0,-13295,891,-229,-15718
A112610,¾¾¿¡½ºÀ©µå,20230421,-195351,-25549,216126,17797,24654,67682,-186,4000,47804,4032,742,54375
A112610,¾¾¿¡½ºÀ©µå,20230424,78178,-75819,2712,4128,2187,-12905,-762,1360,13453,-5359,288,-4749
A112610,¾¾¿¡½ºÀ©µå,20230426,129047,-73963,-45365,1749,-900,-15004,1025,100,47124,-10445,726,-79459
A112610,¾¾¿¡½ºÀ©µå,20230425,93087,-42673,-41636,8239,815,-3712,589,0,32241,-9705,927,-79808
A112610,¾¾¿¡½ºÀ©µå,20230428,44662,-10717,-33469,-41763,-5339,-8130,8502,121,46695,-596,120,-33555
A112610,¾¾¿¡½ºÀ©µå,20230427,9344,-25796,14250,-19064,2175,12426,8502,67,27976,2168,34,-17832
A112610,¾¾¿¡½ºÀ©µå,20230502,57390,55118,-110103,-20338,-3186,-43090,-1200,100,-7958,-2739,334,-34431
A112610,¾¾¿¡½ºÀ©µå,20230504,16668,-11534,-5163,-15332,21228,-10135,716,-71,19696,-158,187,-21265
A112610,¾¾¿¡½ºÀ©µå,20230503,30816,19475,-49525,-4809,1042,-18862,716,-71,8786,-609,-157,-36327
A112610,¾¾¿¡½ºÀ©µå,20230508,85926,-99743,14853,2859,-2093,15053,0,200,-4691,-1056,20,3525
A112610,¾¾¿¡½ºÀ©µå,20230510,-138291,1657,125599,122,45317,96752,0,200,-54949,10938,97,38157
A112610,¾¾¿¡½ºÀ©µå,20230509,-241402,76506,153308,12702,14425,68141,0,-1,-16682,11656,-68,74723
A112610,¾¾¿¡½ºÀ©µå,20230512,-80069,76820,-12622,3849,-11896,14226,0,860,-9874,14524,1347,-9787
A112610,¾¾¿¡½ºÀ©µå,20230511,-216506,173439,28714,183,-5404,28569,0,849,4627,13315,1038,-110
A112610,¾¾¿¡½ºÀ©µå,20230516,-47305,79460,-16378,2294,-599,-4398,-436,154,6594,-15976,199,-19987
A112610,¾¾¿¡½ºÀ©µå,20230515,-53101,80056,-20935,-1325,1351,-1390,-436,-3,-3944,-6335,315,-15188
