Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ,¿Ü±¹ÀÎ,±â°ü°è,±ÝÀ¶ÅõÀÚ,º¸Çè,Åõ½Å,ÀºÇà,±âÅ¸±ÝÀ¶,¿¬±â±Ý,±âÅ¸¹ýÀÎ,±âÅ¸¿ÜÀÎ,»ç¸ðÆÝµå
A313760,Àª¸µ½º,20230424,-14596,17042,-1422,0,0,-1422,0,0,0,-210,-814,0
A313760,Àª¸µ½º,20230427,-10123,12636,-1588,0,0,-1588,0,0,0,0,-925,0
A313760,Àª¸µ½º,20230426,2960,-1607,-1363,0,0,-1363,0,0,0,0,10,0
A313760,Àª¸µ½º,20230428,6652,-7389,-188,0,0,-188,0,0,0,1000,-75,0
A313760,Àª¸µ½º,20230503,-7202,8929,-429,0,0,-429,0,0,0,-1332,34,0
A313760,Àª¸µ½º,20230502,-8968,9041,-7,0,0,-7,0,0,0,-100,34,0
A313760,Àª¸µ½º,20230504,14785,-13517,-1258,-744,0,-134,0,0,0,0,-10,-380
A313760,Àª¸µ½º,20230509,5556,-4975,-156,0,0,-156,0,0,0,0,-425,0
A313760,Àª¸µ½º,20230508,3443,-2911,-107,0,0,-107,0,0,0,0,-425,0
A313760,Àª¸µ½º,20230511,-8970,10641,-1667,0,0,-1667,0,0,0,-4,0,0
A313760,Àª¸µ½º,20230510,-9595,11184,-1585,0,0,-1585,0,0,0,-4,0,0
A313760,Àª¸µ½º,20230512,4018,-4262,245,0,0,245,0,0,0,0,-1,0
A313760,Àª¸µ½º,20230515,10642,-10533,-86,0,0,-86,0,0,0,0,-23,0
A313760,Àª¸µ½º,20230517,11332,-13865,2547,2698,0,-763,0,0,0,0,-14,612
A313760,Àª¸µ½º,20230516,7295,-7257,-38,0,0,-38,0,0,0,0,0,0
A313760,Àª¸µ½º,20230519,-13695,10646,2958,1651,0,0,0,0,0,56,35,1307
A313760,Àª¸µ½º,20230518,-4898,4729,167,167,0,0,0,0,0,0,2,0
A313760,Àª¸µ½º,20230523,-5584,5118,0,0,0,0,0,0,0,107,359,0
A313760,Àª¸µ½º,20230522,-4547,4289,0,0,0,0,0,0,0,0,258,0
A313760,Àª¸µ½º,20230525,4918,-2631,-2876,-1599,0,0,0,0,0,325,264,-1277
A313760,Àª¸µ½º,20230524,4644,-4962,0,0,0,0,0,0,0,107,211,0
A313760,Àª¸µ½º,20230526,7202,-7266,-6,-6,0,0,0,0,0,70,0,0
A313760,Àª¸µ½º,20230531,-1336,2860,-1460,-818,0,0,0,0,0,-74,10,-642
A313760,Àª¸µ½º,20230530,-581,630,-7,-7,0,0,0,0,0,-52,10,0
A313760,Àª¸µ½º,20230602,-8478,10433,-1875,-1875,0,0,0,0,0,182,-262,0
A313760,Àª¸µ½º,20230601,2757,-3471,0,0,0,0,0,0,0,-23,737,0
A313760,Àª¸µ½º,20230605,18214,-18636,-9,-9,0,0,0,0,0,431,0,0
A313760,Àª¸µ½º,20230608,28220,-30379,255,255,0,0,0,0,0,1817,87,0
A313760,Àª¸µ½º,20230607,-13621,10883,240,240,0,0,0,0,0,2390,108,0
A313760,Àª¸µ½º,20230609,-12374,15204,-63,-63,0,0,0,0,0,-2785,18,0
A313760,Àª¸µ½º,20230612,-24964,24174,-2,-2,0,0,0,0,0,810,-18,0
A313760,Àª¸µ½º,20230614,33739,-31428,-6889,-123,0,0,0,-6766,0,4587,-9,0
A313760,Àª¸µ½º,20230613,22107,-21441,-83,-83,0,0,0,0,0,-689,106,0
A313760,Àª¸µ½º,20230616,-5214,10468,-109,-109,0,0,0,0,0,-5084,-61,0
A313760,Àª¸µ½º,20230615,-2483,8675,-109,-109,0,0,0,0,0,-6084,1,0
A313760,Àª¸µ½º,20230620,632,364,4,4,0,0,0,0,0,-1000,0,0
A313760,Àª¸µ½º,20230619,-1367,2363,4,4,0,0,0,0,0,-1000,0,0
A313760,Àª¸µ½º,20230622,-12361,11918,-4,-4,0,0,0,0,0,50,397,0
A313760,Àª¸µ½º,20230621,2372,-2666,-4,-4,0,0,0,0,0,50,248,0
