,단어,빈도
940,메신저,66
941,션,66
942,도움,66
943,일반,66
944,번째,66
945,영국,66
946,068,66
947,율,66
948,임원,66
949,보상,66
950,20,66
951,034,65
952,3만,65
953,마,65
954,테마,65
955,기자,65
956,위원,65
957,CJ,65
958,11,65
959,7조,65
960,급,65
961,독일,65
962,CGT,65
963,신입,65
964,허,65
965,031,64
966,발,64
967,시너지,64
968,13,64
969,바이옴,64
970,엔터테인먼트,64
971,비밀,64
972,실,64
973,하나,64
974,업황,64
975,국,64
976,서울대,64
977,거점,64
978,중소,64
979,부사,64
980,존슨,64
981,초청,64
982,언급,63
983,064,63
984,035,63
985,063,63
986,영역,63
987,간밤,63
988,057,63
989,전기차,63
990,9,63
991,과거,63
992,과,63
993,호재,63
994,계단,63
995,연쇄,63
996,이차전지,62
997,HD,62
998,외국,62
999,취임,62
1000,단,62
1001,최,62
1002,간담,62
1003,북미,62
1004,추천,62
1005,금융업,61
1006,027,61
1007,긴축,61
1008,079,61
1009,여부,61
1010,이슈,61
1011,KODEX,61
1012,확정,61
1013,두산,61
1014,상업,61
1015,091,61
1016,이름,61
1017,모델,61
1018,청장,61
1019,유일,61
1020,통과,61
1021,위축,61
1022,049,60
1023,082,60
1024,실제,60
1025,하루,60
1026,처리,60
1027,황,60
1028,종료,60
1029,이벤트,60
1030,다수,60
1031,선임,60
1032,감사원,60
1033,특허,60
1034,블록버스터,60
1035,결국,60
1036,공모,60
1037,알츠하이머,60
1038,알테오,60
1039,신용,60
1040,차관,60
1041,086,59
1042,신속,59
1043,하이,59
1044,팔자,59
1045,견인,59
1046,복지,59
1047,078,59
1048,탄소,59
1049,선택,59
1050,066,59
1051,전용,59
1052,상호,59
1053,공공기관,59
1054,이틀,59
1055,간,59
1056,G,59
1057,113,59
1058,전달,59
1059,감산,-1
1060,케빈,59
1061,7일,59
1062,102,58
1063,부장,58
1064,내림세,-1
1065,100,58
1066,033,58
1067,과열,58
1068,차원,58
1069,절차,58
1070,088,58
1071,045,58
1072,자녀,58
1073,정상,58
1074,팬데믹,58
1075,사무소,58
1076,조합,58
1077,스니커즈,58
1078,외환시장,57
1079,선제,57
1080,스,57
1081,20,57
1082,기획,57
1083,장세,57
1084,2,57
1085,마지막,57
1086,개막,57
1087,12일,57
1088,클리,57
1089,055,56
1090,041,56
1091,기념,56
1092,구상,56
1093,여름,56
1094,7만,56
1095,극복,0
1096,대장,56
1097,인기,56
1098,10,56
1099,가지,56
1100,문,56
1101,옵션,56
1102,메타,56
1103,도심,56
1104,현황,56
1105,6만,56
1106,및,55
1107,002,55
1108,동향,55
1109,세액,55
1110,관망,55
1111,우스,55
1112,073,55
1113,의류,55
1114,분위기,55
1115,금,55
1116,인들,55
1117,출신,55
1118,자가,55
1119,에이,55
1120,전형,55
1121,주최,55
1122,동부,55
1123,유망,0
1124,모색,55
1125,리서치,55
1126,108,54
1127,022,54
1128,포럼,54
1129,싸,54
1130,입장,54
1131,무대,54
1132,원대,54
1133,영화,54
1134,연세대,54
1135,혜택,0
1136,복합,54
1137,호실,54
1138,올,54
1139,아스,54
1140,종근당,54
1141,각국,53
1142,통상,53
1143,009,53
1144,IFEZ,53
1145,여건,53
1146,잠재력,0
1147,2년,53
1148,이직,53
1149,학,53
1150,자원,53
1151,주요,53
1152,제임스,53
1153,공학,53
1154,티어,53
1155,원료,53
1156,41,53
1157,논,53
1158,산학,52
1159,배경,52
1160,담배,52
1161,절반,52
1162,나머지,52
1163,현상,52
1164,행정,52
1165,공구,52
1166,코스모,52
1167,062,52
1168,차례,52
1169,방어,52
1170,083,52
1171,발행,52
1172,우시,52
1173,재생,52
1174,KRX,52
1175,15,52
1176,DNA,52
1177,누바,52
1178,047,51
1179,입지,51
1180,급여,51
1181,국내,51
1182,리지,51
1183,불,51
1184,요구,51
1185,중립,51
1186,052,51
1187,빌리,51
1188,에스티,51
1189,정기,51
1190,선점,0
1191,출범,51
1192,활,51
1193,위상,51
1194,후,51
1195,품종,51
