辆格内靛,辆格疙,朝楼,俺牢,寇惫牢,扁包拌,陛蓝捧磊,焊氰,捧脚,篮青,扁鸥陛蓝,楷扁陛,扁鸥过牢,扁鸥寇牢,荤葛戚靛
A328130,风粗,20221221,-803,3417,4383,-72,0,5307,0,200,-111,-7003,6,-941
A328130,风粗,20221223,38573,-30127,8844,1040,405,5143,1631,-3301,1000,-17556,266,2926
A328130,风粗,20221226,1015,-1056,36,-1128,451,91,0,0,0,-5,10,622
A328130,风粗,20221228,-42755,18319,23975,236,235,19717,0,0,-707,2961,-2500,4494
A328130,风粗,20221227,-11469,8953,822,486,98,190,0,0,0,2453,-759,48
A328130,风粗,20221229,13600,-13634,-438,-397,608,1522,0,0,-260,300,172,-1911
A328130,风粗,20230103,-14577,37908,-17554,9188,839,-11084,0,-100,-12456,-7329,1552,-3941
A328130,风粗,20230102,6018,-6182,149,-1904,-983,2646,0,0,0,-1,16,390
A328130,风粗,20230105,42846,-30766,-16158,14586,820,-30853,0,-1,-1394,3025,1053,684
A328130,风粗,20230104,5673,-19517,10401,11830,820,-2315,0,-1,-1039,2643,800,1106
A328130,风粗,20230106,15733,6095,-14847,9706,638,-7618,0,0,-5604,-6819,-162,-11969
A328130,风粗,20230109,69248,-15393,-34654,-6104,-955,3810,0,-3437,1459,-19543,342,-29427
A328130,风粗,20230111,-1267,6520,-5091,-222,92,-2329,0,0,0,65,-227,-2632
A328130,风粗,20230110,16615,3074,-18027,-1204,92,-3678,0,0,0,-1285,-377,-13237
A328130,风粗,20230113,16758,-12384,-5719,-1428,-875,-5688,0,0,0,1350,-5,2272
A328130,风粗,20230112,4609,-4829,-533,-1679,0,-1126,0,0,0,750,3,2272
A328130,风粗,20230117,7631,8751,-20006,-7897,1879,-19212,0,-50,-6159,2792,832,11433
A328130,风粗,20230116,-8142,22495,-16729,-9762,1565,-13756,0,-50,-6159,2371,5,11433
A328130,风粗,20230119,64341,-7415,-54084,-660,-9142,-33813,0,180,-4762,-2799,-43,-5887
A328130,风粗,20230118,5919,41357,-42736,-1266,-752,-33286,0,180,-4762,-4983,443,-2850
A328130,风粗,20230120,39211,-1391,-36761,3727,-15059,-15863,0,0,-698,-3050,1991,-8868
A328130,风粗,20230125,16722,39956,-61553,-12891,-1932,-10608,0,-20,-1669,2649,2226,-34433
A328130,风粗,20230127,147454,-8863,-136051,-29696,161,-85925,0,330,-2635,133,-2673,-18286
A328130,风粗,20230126,124680,-16203,-108685,-22479,0,-70080,0,260,0,468,-260,-16386
A328130,风粗,20230131,115009,-28275,-68700,101980,552,-46593,0,-99836,1206,-22351,4317,-26009
A328130,风粗,20230130,87184,-19258,-51029,-497,552,-35540,0,104,1206,-19704,2807,-16854
A328130,风粗,20230202,321660,-8926,-151746,-24022,2027,-57994,0,1,-1684,-161825,837,-70074
A328130,风粗,20230201,198061,-128,-87915,-20700,3312,-41637,0,0,-1684,-111019,1001,-27206
A328130,风粗,20230203,44280,354,-38960,-9050,-426,-16508,0,0,0,-1750,-3924,-12976
A328130,风粗,20230206,35605,6742,-33829,-5452,0,-5579,0,0,0,-9959,1441,-22798
A328130,风粗,20230208,38284,58281,-177,-14530,0,9133,1034,-1,2306,-95706,-682,1881
A328130,风粗,20230207,26110,16216,-4756,-10640,0,1755,611,-1,2306,-37213,-357,1213
A328130,风粗,20230210,117481,-48614,20151,-3362,10837,11692,0,1,-857,-89600,582,1840
A328130,风粗,20230209,39750,51491,-6506,-10162,4572,5944,0,0,-4293,-84813,78,-2567
A328130,风粗,20230214,65996,16655,27678,12706,3955,6769,366,-1,11329,-112746,2417,-7446
A328130,风粗,20230213,15407,12321,4651,6021,2862,557,0,-1,5712,-32387,8,-10500
A328130,风粗,20230216,31754,-4318,-1494,-1033,0,0,0,1,-1021,-23909,-2033,559
A328130,风粗,20230215,22498,-436,1805,745,0,0,0,1,0,-21815,-2052,1059
A328130,风粗,20230217,12329,5997,-6890,-11717,427,2487,0,-894,0,-11612,176,2807
A328130,风粗,20230220,-6404,-3252,6017,3980,0,-649,0,0,769,3156,483,1917
A328130,风粗,20230222,10412,-5662,-6191,-4108,-7643,0,0,1,2940,2744,-1303,2619
A328130,风粗,20230221,20229,-23913,1751,-809,0,0,0,0,0,3169,-1236,2560
A328130,风粗,20230224,156247,220768,4306,-6905,-11795,1032,366,-34375,43535,-377881,-3440,12448
A328130,风粗,20230223,-15032,98964,20391,-6415,-9416,-561,113,-1,40274,-102727,-1596,-3603
A328130,风粗,20230228,-32770,-12554,45456,-3933,2337,8403,260,-10000,32243,-2385,2253,16146
A328130,风粗,20230227,-52841,-29995,84017,119,2337,35682,0,0,19319,-3362,2181,26560
A328130,风粗,20230302,145129,-85764,-54583,-2959,0,-9386,0,0,0,-6195,1413,-42238
A328130,风粗,20230303,-66858,58593,3472,-612,820,134,0,0,0,4812,-19,3130
A328130,风粗,20230306,4195,-6464,6593,-4780,0,11435,0,0,0,-3812,-512,-62
A328130,风粗,20230308,13190,-52133,42735,3483,0,4463,0,0,33975,-3318,-474,814
A328130,风粗,20230307,-82722,48049,37400,535,0,19842,0,0,19740,-2264,-463,-2717
A328130,风粗,20230310,-56027,9740,52436,2938,-8970,19078,0,1,33208,-7798,1649,6181
A328130,风粗,20230309,-7282,508,9808,-2044,0,-98,0,0,14171,-3106,72,-2221
A328130,风粗,20230314,-110731,119363,156,-2102,-7307,4394,-2026,-1,3964,-8119,-669,3234
A328130,风粗,20230313,-21291,27254,831,-87,-4920,608,0,-1,2027,-6120,-674,3204
A328130,风粗,20230316,-7758,-18191,14230,416,0,19576,0,0,-325,13116,-1397,-5437
A328130,风粗,20230315,1686,-7426,-3056,-626,0,4653,0,0,-325,8500,296,-6758
A328130,风粗,20230317,10054,-12321,3317,2793,0,2291,0,-1,0,-1808,758,-1766
A328130,风粗,20230320,-9452,-9502,18506,2218,5245,11223,0,0,754,819,-371,-934
A328130,风粗,20230322,79627,-72273,-4885,2747,1481,-4896,0,0,266,-2620,151,-4483
A328130,风粗,20230321,56575,-54010,-235,805,651,-2616,0,0,266,-1851,-479,659
A328130,风粗,20230324,-14555,6840,9289,-1452,0,25579,0,1,0,-864,-710,-14839
A328130,风粗,20230323,-2528,-11807,15473,995,0,27803,0,1,0,-14,-1124,-13326
A328130,风粗,20230328,37485,-30487,-8323,847,-289,-1624,0,0,-1020,1051,274,-6237
A328130,风粗,20230327,25002,-27310,1426,1878,-131,-941,0,0,-463,851,31,1083
A328130,风粗,20230330,11147,-15267,8963,-536,-4249,-1159,0,0,15887,-2220,-2623,-980
A328130,风粗,20230329,-7423,-4960,16908,435,0,467,0,0,15887,-2000,-2525,119
A328130,风粗,20230331,16470,-21919,3502,-1699,0,-2499,0,1,0,-1068,3015,7699
A328130,风粗,20230403,-13186,9372,-840,-61,0,-472,0,0,0,2454,2200,-307
A328130,风粗,20230405,-207649,69216,87690,-11574,1331,38587,0,-3049,0,56339,-5596,62395
A328130,风粗,20230404,-138328,59409,53040,-5961,1009,15853,0,0,0,27156,-1277,42139
A328130,风粗,20230407,-109591,113263,-3915,-7472,0,-2384,0,-9746,0,393,-150,15687
A328130,风粗,20230406,-89315,76465,4746,-5903,0,3249,0,-3000,0,7715,389,10400
A328130,风粗,20230411,-6580,-38509,65524,5441,5671,65246,0,-37817,0,-21398,963,26983
A328130,风粗,20230410,4443,-43954,37395,1017,2626,31476,0,-10070,0,2088,28,12346
A328130,风粗,20230413,220612,-42573,-169391,-4509,-898,-43252,0,-82000,-2758,-10369,1721,-35974
A328130,风粗,20230412,132703,37560,-113035,-5934,0,7660,0,-82000,-2758,-57653,425,-30003
A328130,风粗,20230414,-84982,63732,21971,1833,-3143,49755,0,-25291,0,-4828,4107,-1183
A328130,风粗,20230417,57335,-40510,-16328,2142,-1091,-11586,0,0,0,1618,-2115,-5793
A328130,风粗,20230419,-49271,73289,-30788,2329,-1698,-3635,0,-50000,11710,2518,4252,10506
A328130,风粗,20230418,-21093,29494,-16946,3595,-1797,-3360,0,-50000,11710,-350,8895,22906
A328130,风粗,20230421,-17070,48914,-40172,-9651,0,-7126,0,0,16889,-688,9016,-40284
A328130,风粗,20230420,-43037,86346,-51054,-5908,0,-5168,0,0,0,711,7034,-39978
A328130,风粗,20230425,43345,-16973,-32629,-2316,0,-10302,0,0,-18858,7018,-761,-1153
A328130,风粗,20230424,23432,-21061,-7843,-1096,0,-6473,0,0,0,6442,-970,-274
A328130,风粗,20230427,-13246,21102,2991,-15,152,2688,0,1,0,1255,-12102,165
A328130,风粗,20230426,-10395,20497,484,399,0,-50,0,1,0,1202,-11788,134
A328130,风粗,20230428,-19053,-27348,39769,5919,0,13045,0,0,0,3219,3413,20805
A328130,风粗,20230503,21671,-90110,61719,7710,-710,10636,0,0,0,11731,-5011,44083
A328130,风粗,20230502,12649,-49163,37941,4897,-710,9171,0,0,0,3975,-5402,24583
A328130,风粗,20230504,49729,-53714,4895,1528,0,1276,0,-4000,0,-828,-82,6091
A328130,风粗,20230509,-1499,-49804,42311,16145,0,24750,0,-4500,334,2230,6762,5582
A328130,风粗,20230508,-32611,-12642,38806,15594,0,25083,0,-4500,0,2014,4433,2629
A328130,风粗,20230511,112391,25491,-98528,20430,-379,13181,0,-140693,1744,-29172,-10182,7189
A328130,风粗,20230510,24202,9928,-28742,-1842,0,-360,0,-27035,0,-697,-4691,495
A328130,风粗,20230512,13444,-22416,7916,6008,116,-4095,0,0,152,1855,-799,5735
A328130,风粗,20230515,22922,-18295,-6714,-10463,-359,-3772,0,1,1881,-351,2438,5998
A328130,风粗,20230517,39781,-3919,-33812,-560,3792,-7524,0,-30571,116,-324,-1726,935
A328130,风粗,20230516,1489,26555,-25375,-1951,4000,606,0,-28965,0,-1983,-686,935
A328130,风粗,20230519,-40723,46293,4228,-108,2970,152,0,-1605,391,-11667,1869,2428
A328130,风粗,20230518,-19024,27926,1044,-497,0,198,0,-1605,311,-12371,2425,2637
A328130,风粗,20230523,81285,53649,-73657,-7335,-584,-13891,0,-31569,-25724,-61975,698,5446
A328130,风粗,20230522,22799,3551,-10273,-237,-166,-9809,0,0,25,-15873,-204,-86
A328130,风粗,20230525,-43505,127330,-62215,-7974,9938,-27594,0,-58618,18520,-18573,-3037,3513
A328130,风粗,20230524,-57086,101600,-31521,-1517,2869,1589,0,-39012,13849,-10527,-2466,-9299
A328130,风粗,20230526,77163,-18164,-2622,-489,-23,1992,0,0,0,-59440,3063,-4102
A328130,风粗,20230531,-11761,86066,-41128,-3544,243,-2156,0,0,0,-31811,-1366,-35671
A328130,风粗,20230530,17454,-6450,-1112,-2009,243,452,0,0,0,-10223,331,202
A328130,风粗,20230602,-13302,142802,-103542,-14917,1960,-37999,0,0,-15749,-25518,-440,-36837
A328130,风粗,20230601,25878,84058,-78495,-15711,-212,-29872,0,0,0,-31867,426,-32700
A328130,风粗,20230605,25279,-26467,-3316,-4894,-61,664,0,0,3698,3516,988,-2723
A328130,风粗,20230608,152744,19301,-66587,1872,-5510,-23829,0,0,15000,-103982,-1476,-54120
A328130,风粗,20230607,28263,111467,-50142,1973,-2173,-5141,0,0,0,-86342,-3246,-44801
A328130,风粗,20230609,2420,38339,-15291,2362,91,-13734,0,0,-1245,-24256,-1212,-2765
A328130,风粗,20230612,146863,-111609,-12803,-483,-5073,-12233,0,0,10351,-22333,-118,-5365
A328130,风粗,20230614,90524,-16490,-31472,-2305,1372,-15267,0,0,3062,-42702,140,-18334
A328130,风粗,20230613,52440,-17127,-13120,-2232,0,-10909,0,0,0,-23058,865,21
A328130,风粗,20230616,193947,-113766,-19314,-45,0,-7279,0,2,5376,-62456,1589,-17368
A328130,风粗,20230615,90643,-33319,123,673,0,-5935,0,1,5376,-56729,-718,8
A328130,风粗,20230620,-25766,168173,-86921,456,0,-38569,0,0,-59797,-52695,-2791,10989
A328130,风粗,20230619,51049,-39434,-101,201,0,-2405,0,0,0,-11809,295,2103
A328130,风粗,20230622,52877,-3313,-8463,984,1141,-13926,0,0,-4009,-43133,2032,7347
A328130,风粗,20230621,54124,-39230,3312,246,1096,-3340,0,-1,0,-19095,889,5311
A328130,风粗,20230623,178442,-102417,-62959,-1597,-1020,-39998,0,0,-1292,-12741,-325,-19052
